key	text	tooltip
#Loc PackedFile;1;text/db/@unit_description_short_texts.loc		
unit_description_short_texts_text_vik_eng_seax_warriors_short	A longer reach and a weightier swing make these men slightly more deadly than their shorter counterparts.	true
unit_description_short_texts_text_vik_iri_mailed_fianna_short	The spirit of Cú Chulainn is said to inhabit the noblest of Gaelic Warriors.	true
unit_description_short_texts_text_vik_est_shield_biters_short	As mysterious as they are ferocious, Odin's Chosen strike fear into the hearts of mere mortals.	true
unit_description_short_texts_text_vik_iri_kern_raiders_short	For those always on the move, scouting ahead of the army is as natural as sleeping.	true
unit_description_short_texts_text_vik_dan_northumbrian_thegns_short	Aristocratic warriors of Northanhymbran lands, albeit somewhat nonplussed about their new King.	true
unit_description_short_texts_text_vik_est_spear_hirdmen_short	Thirsty for honour and plunder, they come to the battle with a ferocity matched by few.	true
unit_description_short_texts_text_vik_wel_levy_axemen_short	Men of the field and soil will fight under orders, as servants to the cause of their people.	true
unit_description_short_texts_text_vik_iri_spear_raiders_short	Equipped with heavy throwing spears, these lesser nobles are as solid in defence as the mountains of their homelands.	true
unit_description_short_texts_text_vik_dan_ceorl_axemen_short	We may be Lords of a new land but we will always rely on those who can fight with stout hearts on the sea.	true
unit_description_short_texts_text_vik_wel_armoured_swordsmen_short	These petty nobles' armour, while valuable, is unneeded, for their skill with a blade protects them.	true
unit_description_short_texts_text_vik_iri_wolf_hounds_short	Keen senses and unmatched speed are perfect for chasing down the newest additions to our slave pens.	true
unit_description_short_texts_text_vik_eng_select_fyrd_spearmen_short	The king's hand-picked soldiers stand ready to defend burghs at a moment's notice.	true
unit_description_short_texts_text_vik_est_spear_guard_short	Deftly wielding spears, they will seek their fortune and the favours of their king.	true
unit_description_short_texts_text_vik_dan_ceorl_archers_short	To hunt well a man must know his ground and his quarry... the most successful of which can lead others as well.	true
unit_description_short_texts_text_vik_iri_horse_boys_short	Trying to chase down the swiftest mounts in the land is more likely to catch a javelin in your eye.	true
unit_description_short_texts_text_vik_iri_fianna_band_short	When men from the Fianna band step onto the battlefield, the enemy will know they face a united Ériu.	true
unit_description_short_texts_text_vik_eng_royal_thegns_short	This noble warrior fights valiantly for his God and King, inspiring all those around him to do the same.	true
unit_description_short_texts_text_vik_est_norse_hersir_short	These experienced warriors have survived more than one season abroad from the fjord.	true
unit_description_short_texts_text_vik_iri_airig_warband_short	Warmongering leaders of men are little without nobles willing to serve them.	true
unit_description_short_texts_text_vik_eng_long_axemen_short	Though hailing from lands afar, a man may still put his life and weapon on the line when the coin is right.	true
unit_description_short_texts_text_vik_sco_alban_levy_spearmen_short	More Saxon than Alban. Are we certain they're on our side?	true
unit_description_short_texts_text_vik_wel_royal_teulu_short	Practically family, these are the king's closest retainers.	true
unit_description_short_texts_text_vik_est_norse_mailed_hersir_short	Fear, violence, plunder and reputation have made this warrior a legend among his people. 	true
unit_description_short_texts_text_vik_dan_berserkers_short	"His men went to battle without armor and acted like mad dogs or wolves. They bit into their shields and were as strong as bears or bulls. They killed men, but neither fire nor iron harmed them."	true
unit_description_short_texts_text_vik_wel_old_north_uchelwr_short	For centuries, the horse-retinues of the Old North have presided over their people with eminence.	true
unit_description_short_texts_text_vik_iri_household_riders_short	With unflinching dedication to their King, they ride through thick and thin.	true
unit_description_short_texts_text_vik_iri_freemen_spearmen_short	A lack of experience does not mute the passion of the spearmen for their God and their tribe.	true
unit_description_short_texts_text_vik_sco_alban_spearmen_short	The rage and pride of Alban Highlanders comes focused on a sharpened point.	true
unit_description_short_texts_text_vik_eng_thegn_horsemen_short	Mounted lesser-thegns defend their lord's land from foreign raiders and domestic brigands.	true
unit_description_short_texts_text_vik_dan_ceorl_spearmen_short	Danelaw spears have a fierce reputation... we hope these lads will catch on one day.	true
unit_description_short_texts_text_vik_wel_helwyr_short	The natural defences of Northern Wales trains all men, young and old, to be proficient with a bow.	true
unit_description_short_texts_text_vik_dan_huscarls_short	Can men stop the sun from rising or the tides of the sea from shifting? Can mortal men withstand the blows of Danelaw axes?	true
unit_description_short_texts_text_vik_est_hunters_short	Any fighting force needs those who can scout and those who can procure meat.	true
unit_description_short_texts_text_vik_dan_mailed_swordsmen_short	This peerless warrior's reputation travels broadly before him. He is sure to be the victor in any holmgang for his Lord.	true
unit_description_short_texts_text_vik_wel_spearmen_short	A foot spear to fight for their people, and their future.	true
unit_description_short_texts_text_vik_est_norse_warriors_short	Young, fresh, and still reeking of salt fish... eager all the same.	true
unit_description_short_texts_text_vik_iri_airig_swordsmen_short	The noblemen brandish their blades to defend their King with conviction as an example to others – it is their duty.	true
unit_description_short_texts_text_vik_est_levy_javelinmen_short	Hurling a javelin is no easy task. Hurling it accurately, even less so. The locals should be of use.	true
unit_description_short_texts_text_vik_sco_alban_warriors_short	This Alban hero becomes a whirlwind of rage, iron and gore when he puts his blade to foreign invaders.	true
unit_description_short_texts_text_vik_est_warband_short	They could probably hold their own if they stayed long enough in battle to find out.	true
unit_description_short_texts_text_vik_wel_uchelwr_short	Enemies run amok when these noble riders take to the field.	true
unit_description_short_texts_text_vik_eng_earls_spearmen_short	This spear-wielding champion of Mierce will follow his Lord's orders with the utmost dedication.	true
unit_description_short_texts_text_vik_iri_foreign_warriors_short	These warriors were armed with an iron battle axe whose powerful swings could severe a leg from the torso with a single swing.	true
unit_description_short_texts_text_vik_est_marauders_short	I fear thee, ancient Mariner! I fear thy skinny hand! And thou art lank, and brown, as the ribbed sea-sand.	true
unit_description_short_texts_text_vik_iri_freemen_archers_short	Yesterday, shepards. Today, slingers. Tomorrow, by God's good grace... the battle's victors.	true
unit_description_short_texts_text_vik_est_champions_short	These men stand as an unmovable bulwark when all others have fallen, fighting until either victory or death.	true
unit_description_short_texts_text_vik_wel_swordsmen_short	Even the young men of the lesser nobles will fight for the future of the kingdom.	true
unit_description_short_texts_text_eng_north_horsemen_short	Holy Matrimony between the Kingdom of Rheged and Northanhymbra have produced a specialised mounted Saxon group not seen among their Southern Counterparts.	true
unit_description_short_texts_text_eng_north_spearmen_short	Lothian Hunters are war-hardened scouts, forged by years of fighting against invaders.	true
unit_description_short_texts_text_eng_north_champion_short	Northern Saxons, much like their Southern cousins, rely primarily on their spears to carry the day.	true
unit_description_short_texts_text_eng_north_hunters_short	When the North falters, a hero arises to rally the men in defense of their Kingdom from the heathens who threaten it. 	true
